,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
1028,Mason Greenwood,eng ENG,"MF,FW",Getafe,es La Liga,21,33,8,6,8.8
1029,Michael Gregoritsch,at AUT,FW,Freiburg,de Bundesliga,29,32,7,4,9.2
1030,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,26,1,0,0,0.0
1031,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,32,33,16,6,12.3
1032,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,de Bundesliga,30,32,8,8,7.7
1033,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,de Bundesliga,27,30,1,6,1.2
1034,Álex Grimaldo,es ESP,DF,Leverkusen,de Bundesliga,27,33,10,13,5.7
1035,Christian Groß,de GER,"DF,MF",Werder Bremen,de Bundesliga,34,20,0,1,0.3
1036,Pascal Groß,de GER,"MF,DF",Brighton,eng Premier League,32,36,4,10,6.5
1037,Brajan Gruda,de GER,"MF,FW",Mainz 05,de Bundesliga,19,28,4,3,3.5
1038,Ilia Gruev,bg BUL,MF,Werder Bremen,de Bundesliga,23,1,0,0,0.0
1039,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,36,27,0,0,0.0
1040,Andrés Guardado,mx MEX,MF,Betis,es La Liga,36,12,0,0,0.1
1041,Sergi Guardiola,es ESP,"FW,MF",Cádiz,es La Liga,32,22,1,1,1.8
1042,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,es La Liga,31,22,1,1,0.8
1043,Gabriel Gudmundsson,se SWE,"DF,FW",Lille,fr Ligue 1,24,25,1,0,1.1
1044,Gonçalo Guedes,pt POR,"FW,MF",Villarreal,es La Liga,26,17,3,2,2.3
1045,Axel Gueguin,fr FRA,"DF,FW",Montpellier,fr Ligue 1,18,3,0,0,0.0
1046,Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,23,25,0,1,0.6
1047,Mattéo Guendouzi,fr FRA,MF,Lazio,it Serie A,24,33,2,3,1.6
1048,Mattéo Guendouzi,fr FRA,MF,Marseille,fr Ligue 1,24,2,0,0,0.5
1049,Javier Guerra,es ESP,MF,Valencia,es La Liga,20,36,4,1,2.7
1050,Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,de Bundesliga,29,20,3,0,2.4
1051,Axel Guessand,fr FRA,DF,Udinese,it Serie A,18,1,0,0,0.0
1052,Evann Guessand,ci CIV,FW,Nice,fr Ligue 1,22,34,6,0,8.4
1053,Ander Guevara,es ESP,MF,Alavés,es La Liga,26,37,1,0,0.7
1054,Pape Gueye,sn SEN,"MF,DF",Marseille,fr Ligue 1,24,15,1,0,0.4
1055,Josuha Guilavogui,fr FRA,DF,Mainz 05,de Bundesliga,32,11,0,1,0.0
1056,Morgan Guilavogui,gn GUI,"FW,MF",Lens,fr Ligue 1,25,23,2,0,1.6
1057,Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,28,32,2,0,1.1
1058,Hugo Guillamón,es ESP,MF,Valencia,es La Liga,23,26,1,0,0.2
1059,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,25,37,7,8,4.8
1060,Serhou Guirassy,gn GUI,FW,Stuttgart,de Bundesliga,27,28,28,3,20.8
1061,Marc Guiu,es ESP,"FW,MF",Barcelona,es La Liga,17,3,1,0,0.8
1062,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,33,13,0,0,0.0
1063,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,32,27,1,0,1.1
1064,Arda Güler,tr TUR,"FW,MF",Real Madrid,es La Liga,18,10,6,0,1.4
1065,Gerard Gumbau,es ESP,MF,Granada,es La Liga,28,35,0,3,1.8
1066,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,25,13,0,0,0.2
1067,İlkay Gündoğan,de GER,MF,Barcelona,es La Liga,32,36,5,9,7.3
1068,Christian Günter,de GER,DF,Freiburg,de Bundesliga,30,15,1,2,0.5
1069,Jon Guridi,es ESP,MF,Alavés,es La Liga,28,36,3,4,4.0
1070,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,26,32,14,5,11.6
1071,Malo Gusto,fr FRA,DF,Chelsea,eng Premier League,20,27,0,6,0.9
1072,Miguel Gutiérrez,es ESP,DF,Girona,es La Liga,22,35,2,7,2.8
1073,Albert Guðmundsson,is ISL,"FW,MF",Genoa,it Serie A,26,35,14,4,9.9
1074,Joško Gvardiol,hr CRO,DF,Manchester City,eng Premier League,21,28,4,1,3.1
1075,Emmanuel Gyasi,gh GHA,"DF,FW",Empoli,it Serie A,29,33,1,2,3.5
1076,Norbert Gyömbér,sk SVK,DF,Salernitana,it Serie A,31,22,0,0,0.2
1077,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,23,31,27,5,29.2
1078,Nicolas Haas,ch SUI,MF,Empoli,it Serie A,27,1,0,0,0.1
1079,Janik Haberer,de GER,"MF,DF",Union Berlin,de Bundesliga,29,21,1,1,0.9
1080,Robin Hack,de GER,"FW,MF",Gladbach,de Bundesliga,24,29,10,2,3.9
1081,Antwoine Hackford,eng ENG,FW,Sheffield Utd,eng Premier League,19,2,0,0,0.0
1082,Munir El Haddadi,ma MAR,FW,Las Palmas,es La Liga,27,38,3,2,4.3
1083,Jaouen Hadjam,dz ALG,DF,Nantes,fr Ligue 1,20,8,0,0,0.0
1084,Ianis Hagi,ro ROU,"MF,FW",Alavés,es La Liga,24,22,0,2,2.8
1085,Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,25,21,2,1,1.1
1086,Massadio Haïdara,ml MLI,DF,Lens,fr Ligue 1,30,18,0,1,0.1
1087,Oualid El Hajjam,ma MAR,"DF,MF",Le Havre,fr Ligue 1,32,13,0,0,0.4
1088,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24,25,4,5,4.2
1089,Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,18,18,1,0,0.3
1090,Sébastien Haller,ci CIV,FW,Dortmund,de Bundesliga,29,14,0,1,0.9
1091,Gustavo Hamer,nl NED,MF,Sheffield Utd,eng Premier League,26,36,4,6,3.0
1092,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,26,15,1,0,0.7
1093,Isak Hansen-Aarøen,no NOR,MF,Werder Bremen,de Bundesliga,18,3,0,0,0.0
1094,Ridgeciano Haps,sr SUR,DF,Genoa,it Serie A,30,16,0,1,0.1
1095,Genki Haraguchi,jp JPN,MF,Stuttgart,de Bundesliga,32,2,0,0,0.0
1096,Amine Harit,ma MAR,"MF,FW",Marseille,fr Ligue 1,26,28,1,2,3.7
1097,Luke Harris,wls WAL,MF,Fulham,eng Premier League,18,1,0,0,0.3
1098,Jack Harrison,eng ENG,"MF,FW",Everton,eng Premier League,26,29,3,3,3.6
1099,Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25,18,3,3,3.1
1100,Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,de Bundesliga,39,8,0,0,0.0
1101,Daiki Hashioka,jp JPN,DF,Luton Town,eng Premier League,24,10,0,0,0.1
1102,Hans Hateboer,nl NED,DF,Atalanta,it Serie A,29,23,0,1,0.3
1103,Pantelis Hatzidiakos,gr GRE,DF,Cagliari,it Serie A,26,13,0,0,0.4
1104,Kai Havertz,de GER,"MF,FW",Arsenal,eng Premier League,24,37,13,7,12.3
1105,Thorgan Hazard,be BEL,DF,Dortmund,de Bundesliga,30,1,0,0,0.0
1106,Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,23,28,0,0,1.2
1107,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,eng Premier League,27,29,12,3,7.7
1108,Silvan Hefti,ch SUI,"MF,DF",Genoa,it Serie A,25,6,0,0,0.0
1109,Silvan Hefti,ch SUI,"DF,FW",Montpellier,fr Ligue 1,25,11,0,1,0.2
1110,Dominique Heintz,de GER,DF,Köln,de Bundesliga,29,12,0,0,0.0
1111,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,26,18,0,0,0.0
1112,Liam Henderson,sct SCO,MF,Empoli,it Serie A,27,1,0,0,0.0
1113,Benjamin Henrichs,de GER,DF,RB Leipzig,de Bundesliga,26,33,1,5,2.5
1114,Henrique,br BRA,DF,Lyon,fr Ligue 1,29,11,1,0,0.3
1115,Luis Henrique,br BRA,"FW,DF",Marseille,fr Ligue 1,21,15,1,0,1.3
1116,Luiz Henrique,br BRA,FW,Betis,es La Liga,22,14,0,3,1.2
1117,Matheus Henrique,br BRA,MF,Sassuolo,it Serie A,25,31,2,2,2.3
1118,Rico Henry,eng ENG,DF,Brentford,eng Premier League,26,5,0,1,0.1
1119,Thomas Henry,fr FRA,FW,Hellas Verona,it Serie A,28,18,3,0,3.3
1120,Christophe Hérelle,mq MTQ,DF,Metz,fr Ligue 1,30,19,0,0,0.1
1121,Mario Hermoso,es ESP,DF,Atlético Madrid,es La Liga,28,31,0,1,1.4
1122,Javi Hernández,es ESP,DF,Cádiz,es La Liga,25,30,1,2,1.4
1123,Aridane Hernández,es ESP,DF,Rayo Vallecano,es La Liga,34,19,0,0,0.3
1124,Lucas Hernández,fr FRA,DF,Paris S-G,fr Ligue 1,27,27,1,1,0.5
1125,Luis Hernández,es ESP,DF,Cádiz,es La Liga,34,9,1,0,1.0
1126,Theo Hernández,fr FRA,DF,Milan,it Serie A,25,32,5,4,4.9
1127,Jorge Herrando,es ESP,DF,Osasuna,es La Liga,22,19,0,1,0.4
1128,Ander Herrera,es ESP,MF,Athletic Club,es La Liga,33,23,0,3,0.7
1129,Cristian Herrera,es ESP,"FW,MF",Las Palmas,es La Liga,32,8,1,0,0.9
1130,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,30,32,0,0,0.0
1131,Yangel Herrera,ve VEN,MF,Girona,es La Liga,25,29,5,0,4.9
1132,Patrick Herrmann,de GER,"FW,DF",Gladbach,de Bundesliga,32,8,0,0,0.2
1133,Juan Herzog,es ESP,DF,Las Palmas,es La Liga,20,4,2,0,0.7
1134,Son Heung-min,kr KOR,FW,Tottenham,eng Premier League,31,35,17,10,12.0
1135,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21,9,0,0,0.2
1136,Isak Hien,se SWE,DF,Hellas Verona,it Serie A,24,10,0,0,0.4
1137,Isak Hien,se SWE,DF,Atalanta,it Serie A,24,16,0,1,0.2
1138,James Hill,eng ENG,DF,Bournemouth,eng Premier League,21,5,0,0,0.0
1139,Piero Hincapié,ec ECU,DF,Leverkusen,de Bundesliga,21,26,1,2,1.9
1140,Jack Hinshelwood,eng ENG,DF,Brighton,eng Premier League,18,12,3,0,1.9
1141,Adam Hložek,cz CZE,"MF,FW",Leverkusen,de Bundesliga,21,23,2,3,3.1
1142,Nicolas Höfler,de GER,MF,Freiburg,de Bundesliga,33,28,1,1,0.7
1143,Jonas Hofmann,de GER,MF,Leverkusen,de Bundesliga,31,32,5,7,5.9
1144,Philipp Hofmann,de GER,FW,Bochum,de Bundesliga,30,29,4,2,4.8
1145,Lucas Höler,de GER,"FW,MF",Freiburg,de Bundesliga,29,33,7,2,8.6
1146,Mason Holgate,eng ENG,DF,Sheffield Utd,eng Premier League,26,10,0,0,0.6
1147,Fabian Holland,de GER,"MF,DF",Darmstadt 98,de Bundesliga,33,23,0,2,0.6
1148,Benedict Hollerbach,de GER,"FW,MF",Union Berlin,de Bundesliga,22,28,5,0,3.4
1149,Emil Holm,se SWE,DF,Atalanta,it Serie A,23,22,1,1,2.7
1150,Gerrit Holtmann,ph PHI,"MF,FW",Darmstadt 98,de Bundesliga,28,10,0,0,0.6
1151,Martin Hongla,cm CMR,MF,Hellas Verona,it Serie A,25,15,0,0,0.1
1152,Martin Hongla,cm CMR,"MF,DF",Granada,es La Liga,25,13,0,0,0.2
1153,Franck Honorat,fr FRA,"DF,FW",Gladbach,de Bundesliga,26,32,3,9,1.6
1154,Mathias Honsak,at AUT,"FW,MF",Darmstadt 98,de Bundesliga,26,23,1,1,1.8
1155,Sydney van Hooijdonk,nl NED,FW,Bologna,it Serie A,23,9,0,0,0.6
1156,Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,de Bundesliga,23,7,0,0,0.7
1157,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,33,33,0,0,0.0
1158,Xabier Huarte Armendáriz,es ESP,MF,Osasuna,es La Liga,22,1,0,0,0.0
1159,Timo Hübers,de GER,DF,Köln,de Bundesliga,27,31,0,0,1.8
1160,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,eng Premier League,22,29,8,1,2.7
1161,Will Hughes,eng ENG,MF,Crystal Palace,eng Premier League,28,30,0,1,0.3
1162,Dean Huijsen,es ESP,DF,Roma,it Serie A,18,13,2,0,0.4
1163,Dean Huijsen,es ESP,DF,Juventus,it Serie A,18,1,0,0,0.0
1164,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,34,25,3,0,3.2
1165,Denis Huseinbasic,ba BIH,MF,Köln,de Bundesliga,22,26,0,3,0.3
1166,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,29,22,0,0,0.2
1167,Pierre Højbjerg,dk DEN,MF,Tottenham,eng Premier League,27,36,0,0,0.7
1168,Rasmus Højlund,dk DEN,FW,Manchester Utd,eng Premier League,20,30,10,2,7.6
1169,Iago,br BRA,DF,Augsburg,de Bundesliga,26,23,1,1,1.4
1170,Pablo Ibáñez,es ESP,MF,Osasuna,es La Liga,24,33,1,2,2.3
1171,Arijon Ibrahimović,de GER,"FW,DF",Frosinone,it Serie A,17,16,1,1,0.8
1172,Iglesias,es ESP,"DF,FW",Getafe,es La Liga,25,23,0,2,0.6
1173,Borja Iglesias,es ESP,FW,Betis,es La Liga,30,11,0,1,0.6
1174,Borja Iglesias,es ESP,FW,Leverkusen,de Bundesliga,30,7,0,0,1.4
1175,Igor,br BRA,DF,Brighton,eng Premier League,25,24,0,0,0.3
1176,Jonathan Ikone,fr FRA,FW,Fiorentina,it Serie A,25,28,3,1,4.6
1177,Chukwubuikem Ikwuemesi,ng NGA,FW,Salernitana,it Serie A,21,25,1,1,2.4
1178,Andrej Ilic,rs SRB,FW,Lille,fr Ligue 1,23,2,0,0,0.0
1179,Ivan Ilić,rs SRB,MF,Torino,it Serie A,22,31,3,2,2.1
1180,Samuel Iling-Junior,eng ENG,"DF,MF",Juventus,it Serie A,19,24,1,2,0.7
1181,Imanol,es ESP,DF,Athletic Club,es La Liga,23,9,0,0,0.0
1182,Joel Imasuen,us USA,FW,Werder Bremen,de Bundesliga,18,1,0,0,0.0
1183,Ciro Immobile,it ITA,FW,Lazio,it Serie A,33,31,7,1,9.7
1184,Gino Infantino,ar ARG,MF,Fiorentina,it Serie A,20,6,0,0,0.0
1185,Danny Ings,eng ENG,FW,West Ham,eng Premier League,31,20,1,0,1.3
1186,Bonke Innocent,ng NGA,MF,Lorient,fr Ligue 1,27,4,0,0,0.0
1187,Tim Iroegbunam,eng ENG,MF,Aston Villa,eng Premier League,20,9,0,0,0.0
1188,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,23,30,21,2,20.3
1189,Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,22,28,3,1,1.6
1190,Isco,es ESP,MF,Betis,es La Liga,31,29,8,5,8.3
1191,Thomas Isherwood,se SWE,DF,Darmstadt 98,de Bundesliga,25,12,0,0,0.0
1192,Ismaily,br BRA,DF,Lille,fr Ligue 1,33,30,1,1,0.3
1193,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,26,26,0,0,0.3
1194,Yanis Issoufou,fr FRA,MF,Montpellier,fr Ligue 1,16,1,0,0,0.0
1195,Ko Itakura,jp JPN,"DF,MF",Gladbach,de Bundesliga,26,20,3,0,1.3
1196,Hiroki Ito,jp JPN,DF,Stuttgart,de Bundesliga,24,26,0,2,0.9
1197,Junya Ito,jp JPN,"FW,MF",Reims,fr Ligue 1,30,31,3,7,4.5
1198,Diego Iturralde,es ESP,DF,Sevilla,es La Liga,20,1,0,0,0.0
1199,Alex Iwobi,ng NGA,MF,Everton,eng Premier League,27,2,0,0,0.3
1200,Alex Iwobi,ng NGA,"FW,MF",Fulham,eng Premier League,27,30,5,2,5.3
1201,Armando Izzo,it ITA,DF,Monza,it Serie A,31,23,0,0,0.7
1202,Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,22,35,14,5,18.6
1203,Jérémy Jacquet,fr FRA,MF,Rennes,fr Ligue 1,18,1,0,0,0.0
1204,Jérémy Jacquet,fr FRA,DF,Clermont Foot,fr Ligue 1,18,6,0,1,0.2
1205,Lee Jae-sung,kr KOR,"MF,FW",Mainz 05,de Bundesliga,30,29,6,3,4.9
1206,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,25,6,0,0,0.0
1207,Filip Jagiełło,pl POL,MF,Genoa,it Serie A,25,2,0,0,0.0
1208,Kristijan Jakić,hr CRO,MF,Augsburg,de Bundesliga,26,14,2,1,0.8
1209,Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,de Bundesliga,26,4,0,0,0.0
1210,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,23,22,1,2,1.3
1211,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24,17,3,2,2.0
1212,Reece James,eng ENG,DF,Chelsea,eng Premier League,23,10,0,2,0.3
1213,Vitaly Janelt,de GER,"MF,DF",Brentford,eng Premier League,25,38,1,3,1.8
1214,Jakub Jankto,cz CZE,"MF,FW",Cagliari,it Serie A,27,18,1,2,1.5
1215,Tony Jantschke,de GER,"DF,MF",Gladbach,de Bundesliga,33,4,0,0,0.0
1216,Adnan Januzaj,be BEL,"FW,MF",Sevilla,es La Liga,28,8,0,0,0.6
1217,Nuha Jatta,gm GAM,FW,RB Leipzig,de Bundesliga,17,1,0,0,0.0
1218,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,19,7,0,0,0.0
1219,Luis Javier Suárez,co COL,FW,Almería,es La Liga,25,15,6,0,6.5
1220,Danley Jean-Jacques,ht HAI,MF,Metz,fr Ligue 1,23,33,0,0,2.9
1221,Salim El Jebari,ma MAR,MF,Atlético Madrid,es La Liga,19,1,0,0,0.0
1222,Daniel Jebbison,eng ENG,FW,Sheffield Utd,eng Premier League,19,1,0,0,0.0
1223,Jeffinho,br BRA,"FW,MF",Lyon,fr Ligue 1,23,10,1,1,1.0
1224,Fredrik Jensen,fi FIN,"MF,FW",Augsburg,de Bundesliga,25,22,2,4,0.9
1225,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,27,32,3,3,0.7
1226,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,24,22,0,1,0.3
1227,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,26,27,4,5,6.3
1228,Juan Jesus,br BRA,DF,Napoli,it Serie A,32,24,1,0,1.3
1229,Alejandro Jiménez,es ESP,DF,Milan,it Serie A,18,3,0,0,0.0
1230,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,32,24,7,0,5.2
1231,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,21,31,9,3,11.9
1232,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,26,20,2,1,3.1
1233,Ryan John Giles,eng ENG,"DF,MF",Luton Town,eng Premier League,23,11,0,0,0.1
1234,Ben Johnson,eng ENG,"DF,FW",West Ham,eng Premier League,23,14,0,0,0.2
1235,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,22,32,5,10,10.3
1236,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,eng Premier League,22,3,0,0,0.3
1237,Joseph Johnson,eng ENG,DF,Luton Town,eng Premier League,17,2,0,0,0.0
1238,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30,20,0,0,0.0
1239,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,22,23,1,1,2.6
1240,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,26,20,2,0,0.7
1241,Joan Jordán,es ESP,MF,Sevilla,es La Liga,29,8,0,0,0.2
1242,Jordi,es ESP,"MF,DF",Getafe,es La Liga,22,13,0,0,1.3
1243,Jeremy Jorge,es ESP,FW,Getafe,es La Liga,20,1,0,0,0.0
1244,Kaio Jorge,br BRA,FW,Frosinone,it Serie A,21,20,3,0,5.4
1245,Jorginho,it ITA,MF,Arsenal,eng Premier League,31,24,0,2,0.1
1246,Willian José,br BRA,FW,Betis,es La Liga,31,33,10,5,5.7
1247,Joselu,es ESP,FW,Real Madrid,es La Liga,33,34,10,2,11.6
1248,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,26,21,10,3,5.3
1249,Antoine Joujou,fr FRA,"FW,MF",Le Havre,fr Ligue 1,20,23,0,2,1.1
1250,Luka Jović,rs SRB,FW,Milan,it Serie A,25,23,6,1,4.9
1251,Kamil Jóźwiak,pl POL,MF,Granada,es La Liga,25,11,0,1,0.1
1252,Juanmi,es ESP,FW,Cádiz,es La Liga,30,16,3,1,2.5
1253,Juanpe,es ESP,DF,Girona,es La Liga,32,17,0,0,0.2
1254,Mads Juel Andersen,dk DEN,DF,Luton Town,eng Premier League,25,8,1,0,0.3
1255,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,30,20,1,0,1.1
1256,Anthony Jung,de GER,DF,Werder Bremen,de Bundesliga,31,31,1,0,0.6
1257,Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,fr Ligue 1,17,30,5,3,3.5
1258,Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,23,3,0,0,0.2
1259,Hamed Junior Traorè,ci CIV,MF,Napoli,it Serie A,23,9,0,0,0.9
1260,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,23,26,15,5,13.1
1261,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,27,21,0,2,1.4
1262,David Jurásek,cz CZE,DF,Hoffenheim,de Bundesliga,22,13,0,1,0.2
1263,Julian Justvan,de GER,"FW,MF",Hoffenheim,de Bundesliga,25,4,0,0,0.0
1264,Julian Justvan,de GER,"MF,FW",Darmstadt 98,de Bundesliga,25,14,2,2,0.9
1265,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,21,36,0,0,0.0
1266,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,33,14,1,0,0.7
1267,Mohamed Kaba,fr FRA,MF,Lecce,it Serie A,21,23,0,0,1.2
1268,Sory Kaba,gn GUI,FW,Las Palmas,es La Liga,28,17,1,1,1.5
1269,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,23,28,4,0,2.2
1270,Christian Kabasele,be BEL,DF,Udinese,it Serie A,32,13,1,1,1.2
1271,Issa Kaboré,bf BFA,DF,Luton Town,eng Premier League,22,24,0,2,0.2
1272,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29,23,2,1,2.1
1273,Yaya Kader Fofana,ml MLI,"MF,DF",Reims,fr Ligue 1,19,4,0,0,0.1
1274,Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,de Bundesliga,31,29,3,4,2.5
1275,Tino Kadewere,zw ZIM,"FW,MF",Lyon,fr Ligue 1,27,11,0,0,0.7
1276,Tino Kadewere,zw ZIM,"FW,MF",Nantes,fr Ligue 1,27,14,1,0,1.9
1277,Kaiky,br BRA,DF,Almería,es La Liga,19,8,1,0,0.2
1278,Florian Kainz,at AUT,"MF,FW",Köln,de Bundesliga,30,33,5,4,5.0
1279,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,26,11,2,0,1.1
1280,Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,de Bundesliga,26,5,0,1,0.2
1281,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,21,30,10,1,9.0
1282,Yayah Kallon,sl SLE,FW,Hellas Verona,it Serie A,22,1,0,0,0.0
1283,Gedeon Kalulu,cd COD,DF,Lorient,fr Ligue 1,25,19,0,1,0.3
1284,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,23,9,0,0,0.1
1285,Daichi Kamada,jp JPN,MF,Lazio,it Serie A,26,29,2,2,1.8
1286,Waren Kamanzi,no NOR,"DF,FW",Toulouse,fr Ligue 1,22,24,0,3,0.8
1287,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,23,20,0,1,0.1
1288,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,29,35,1,1,1.9
1289,Willy Kambwala,fr FRA,DF,Manchester Utd,eng Premier League,18,8,0,0,0.0
1290,Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,de Bundesliga,21,17,0,2,0.5
1291,Thomas Kaminski,be BEL,GK,Luton Town,eng Premier League,30,38,0,0,0.0
1292,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,32,26,1,0,0.2
1293,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,30,32,36,8,30.6
1294,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,fr Ligue 1,22,23,3,4,1.5
1295,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,25,10,0,0,0.1
1296,Yann Karamoh,fr FRA,"FW,MF",Montpellier,fr Ligue 1,25,12,1,0,0.8
1297,Atakan Karazor,,MF,Stuttgart,de Bundesliga,26,33,0,4,1.0
1298,Ayman Kari,fr FRA,MF,Lorient,fr Ligue 1,18,14,1,1,0.6
1299,Emir Karic,at AUT,DF,Darmstadt 98,de Bundesliga,26,27,0,0,0.4
1300,Loris Karius,de GER,GK,Newcastle Utd,eng Premier League,30,1,0,0,0.0
1301,Jesper Karlsson,se SWE,FW,Bologna,it Serie A,25,7,0,0,0.4
1302,Jon Karrikaburu,es ESP,"MF,FW",Alavés,es La Liga,20,2,0,0,0.0
1303,Rick Karsdorp,nl NED,DF,Roma,it Serie A,28,18,0,2,0.4
1304,Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,it Serie A,25,26,3,3,2.9
1305,Silas Katompa,cd COD,"FW,MF",Stuttgart,de Bundesliga,24,27,5,2,5.7
1306,Panos Katseris,gr GRE,DF,Lorient,fr Ligue 1,22,15,1,1,2.1
1307,Mikkel Kaufmann,dk DEN,FW,Union Berlin,de Bundesliga,22,18,1,0,1.3
1308,Michael Kayode,it ITA,DF,Fiorentina,it Serie A,19,26,1,1,0.5
1309,Moise Kean,it ITA,FW,Juventus,it Serie A,23,19,0,0,2.1
1310,Michael Keane,eng ENG,DF,Everton,eng Premier League,30,9,1,0,0.7
1311,Ibrahima Kebe,ml MLI,MF,Girona,es La Liga,22,2,0,0,0.0
1312,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,19,8,0,0,0.0
1313,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,21,32,2,1,1.6
1314,Thilo Kehrer,de GER,"DF,MF",West Ham,eng Premier League,26,4,0,0,0.0
1315,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,26,15,1,1,0.7
1316,Habib Keita,ml MLI,MF,Clermont Foot,fr Ligue 1,21,27,1,0,0.7
1317,Naby Keïta,gn GUI,"MF,DF",Werder Bremen,de Bundesliga,28,5,0,0,0.1
1318,Yannik Keitel,de GER,"DF,MF",Freiburg,de Bundesliga,23,15,1,0,0.7
1319,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,24,10,0,0,0.0
1320,Thomas Keller,de GER,"MF,FW",Heidenheim,de Bundesliga,23,2,0,0,0.0
1321,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24,23,0,1,0.3
1322,Omari Kellyman,eng ENG,FW,Aston Villa,eng Premier League,17,2,0,0,0.1
