Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Jonas Bager,69,71,31,49,56,69,75,Denmark,Allsvenskan,IFK Göteborg,28,"182cm / 6'0""",79kg / 174lb,CB
Samson Baidoo,69,70,26,50,60,68,69,Austria,Ö. Bundesliga,RB Salzburg,20,"187cm / 6'2""",86kg / 190lb,CB
Theo Bair,69,73,67,50,64,28,79,Canada,Ligue 1 McDonald's,AJ Auxerre,25,"191cm / 6'3""",96kg / 212lb,ST
Sinan Bakış,69,38,71,56,64,29,67,Turkey,PKO BP Ekstraklasa,Górnik Zabrze,30,"186cm / 6'1""",73kg / 161lb,ST
Bünyamin Balcı,69,74,45,61,67,64,66,Turkey,Trendyol Süper Lig,Antalyaspor,24,"173cm / 5'8""",69kg / 152lb,RB
Josepmir Ballón,69,70,63,66,65,65,76,Peru,Sudamericana,UCV,36,"180cm / 5'11""",80kg / 176lb,CDM
Botond Balogh,69,53,33,46,46,71,66,Hungary,Serie A Enilive,Parma,22,"189cm / 6'2""",77kg / 170lb,CB
Alexandru Băluță,69,83,64,66,72,47,67,Romania,SUPERLIGA,FCSB,31,"166cm / 5'5""",67kg / 148lb,RW
Tudor Băluță,69,63,57,67,59,66,75,Romania,PKO BP Ekstraklasa,Śląsk Wrocław,25,"192cm / 6'4""",80kg / 176lb,CDM
Funsho Bamgboye,69,90,64,60,71,35,69,Nigeria,Trendyol Süper Lig,Hatayspor,25,"173cm / 5'8""",67kg / 148lb,RM
Dani Silva,69,64,55,67,71,60,68,Portugal,Serie A Enilive,Hellas Verona,24,"180cm / 5'11""",73kg / 161lb,CM
Alex Bangura,69,92,30,51,69,60,78,Sierra Leone,EFL Championship,Middlesbrough,25,"183cm / 6'0""",68kg / 150lb,LB
Shandon Baptiste,69,67,58,67,75,68,65,Grenada,EFL Championship,Luton Town,26,"175cm / 5'9""",67kg / 148lb,CM
Andrea Barberis,69,64,49,68,69,67,59,Italy,Serie BKT,Pisa,30,"177cm / 5'10""",72kg / 159lb,CDM
Fran Vieites,69,72,63,73,68,34,66,Spain,LALIGA EA SPORTS,Real Betis,25,"196cm / 6'5""",88kg / 194lb,GK
Dani Barcia,69,61,21,44,43,71,61,Spain,LALIGA HYPERMOTION,RC Deportivo,21,"186cm / 6'1""",77kg / 170lb,CB
Antonio Bareiro,69,73,55,65,69,33,50,Paraguay,Libertadores,Libertad,35,"167cm / 5'6""",67kg / 148lb,RM
Filipe Soares,69,66,67,67,71,56,67,Portugal,Liga Portugal,Farense,25,"180cm / 5'11""",72kg / 159lb,CM
Modou Barrow,69,92,63,60,72,37,57,Gambia,ROSHN Saudi League,Al Ahli,31,"177cm / 5'10""",60kg / 132lb,LM
Thierno Barry,69,77,69,48,68,22,63,France,LALIGA EA SPORTS,Villarreal CF,21,"195cm / 6'5""",82kg / 181lb,ST
Bruno Barticciotto,69,81,66,63,71,26,62,Chile,Libertadores,Talleres,23,"176cm / 5'9""",73kg / 161lb,ST
Daniele Baselli,69,64,68,72,73,66,62,Italy,Serie A Enilive,Como,32,"182cm / 6'0""",75kg / 165lb,CM
Amine Bassi,69,69,69,69,69,48,63,Morocco,MLS,Houston Dynamo,26,"173cm / 5'8""",69kg / 152lb,CAM
Danny Batth,69,30,23,41,38,69,80,England,EFL Championship,Blackburn Rovers,33,"191cm / 6'3""",90kg / 198lb,CB
Jon Bautista,69,72,70,58,67,26,66,Spain,LALIGA HYPERMOTION,SD Eibar,29,"180cm / 5'11""",72kg / 159lb,ST
Vakoun Issouf Bayo,69,76,68,54,67,25,77,Côte d'Ivoire,EFL Championship,Watford,27,"184cm / 6'0""",72kg / 159lb,ST
James Beadle,69,68,67,68,69,46,70,England,EFL Championship,Sheffield Wed,20,"198cm / 6'6""",85kg / 187lb,GK
Tobias Bech,69,82,66,65,70,58,69,Denmark,3F Superliga,AGF,22,"189cm / 6'2""",83kg / 183lb,CAM
Owen Beck,69,71,51,64,71,64,67,Wales,EFL Championship,Blackburn Rovers,22,"181cm / 5'11""",74kg / 163lb,LB
El Fardou Ben,69,74,70,64,71,35,63,Netherlands,Liga Cyprus,APOEL FC,35,"174cm / 5'9""",74kg / 163lb,RW
Mortadha Ben Ouanes,69,72,60,68,68,66,65,Tunisia,Trendyol Süper Lig,Kasımpaşa,30,"182cm / 6'0""",75kg / 165lb,LB
Ahmad Benali,69,76,62,67,73,44,64,Libya,Serie BKT,Bari,32,"173cm / 5'8""",66kg / 146lb,CM
Jonathan Benítez,69,80,63,60,71,39,72,Argentina,Libertadores,Palestino,33,"178cm / 5'10""",77kg / 170lb,LM
Romeo Benítez,69,85,59,62,72,33,58,Paraguay,Primera División,Tigre,21,"170cm / 5'7""",57kg / 126lb,LM
Oliver Berg,69,75,68,64,69,54,79,Norway,Allsvenskan,Malmö FF,31,"178cm / 5'10""",74kg / 163lb,CAM
Veton Berisha,69,81,68,62,68,37,81,Norway,Eliteserien,Molde FK,30,"175cm / 5'9""",75kg / 165lb,ST
Valon Berisha,69,58,64,71,73,59,73,Kosovo,Ö. Bundesliga,LASK,31,"176cm / 5'9""",81kg / 179lb,CM
Álex Bermejo,69,73,69,65,72,53,66,Spain,Liga Portugal,Farense,25,"183cm / 6'0""",76kg / 168lb,LM
Bermejo,69,79,58,67,73,41,55,Spain,LALIGA HYPERMOTION,Real Zaragoza,27,"170cm / 5'7""",68kg / 150lb,RM
Di'Shon Bernard,69,66,40,53,59,67,75,Jamaica,EFL Championship,Sheffield Wed,23,"189cm / 6'2""",81kg / 179lb,CB
Maxime Bernauer,69,67,53,73,69,68,70,France,Liga Hrvatska,Dinamo Zagreb,26,"186cm / 6'1""",77kg / 170lb,CB
Léider Berrío,69,65,60,70,69,54,57,Colombia,Libertadores,Junior,26,"172cm / 5'8""",68kg / 150lb,CM
Lucas Besozzi,69,70,63,64,69,27,50,Argentina,Primera División,Newell's,21,"176cm / 5'9""",74kg / 163lb,LM
Max Besuschkow,69,68,61,69,68,66,70,Germany,3. Liga,FC Ingolstadt 04,27,"187cm / 6'2""",81kg / 179lb,CM
Luis Binks,69,58,30,52,57,67,78,England,EFL Championship,Coventry City,23,"188cm / 6'2""",86kg / 190lb,CB
Colby Bishop,69,63,68,56,65,34,83,England,EFL Championship,Portsmouth,27,"183cm / 6'0""",72kg / 159lb,ST
Miha Blažič,69,56,34,53,46,70,67,Slovenia,PKO BP Ekstraklasa,Lech Poznań,31,"185cm / 6'1""",78kg / 172lb,CB
Augustine Boakye,69,86,61,59,72,26,54,Ghana,Ligue 1 McDonald's,AS Saint-Étienne,23,"178cm / 5'10""",70kg / 154lb,RM
Martin Boakye,69,82,65,58,68,46,79,Italy,CSL,Qingdao Hainiu,29,"190cm / 6'3""",90kg / 198lb,ST
Matchoi Djaló,69,86,56,64,74,38,57,Portugal,Trendyol Süper Lig,Başakşehir,21,"175cm / 5'9""",68kg / 150lb,RW
Yann Bodiger,69,51,57,66,64,66,73,France,LALIGA HYPERMOTION,CD Tenerife,29,"188cm / 6'2""",80kg / 176lb,CDM
Enrique Bologna,69,69,65,71,71,42,70,Argentina,Sudamericana,Defensa,42,"188cm / 6'2""",89kg / 196lb,GK
Christopher Bonsu Baah,69,86,63,59,77,29,57,Ghana,1A Pro League,KRC Genk,19,"172cm / 5'8""",73kg / 161lb,RM
Brandon Borrello,69,73,69,65,71,44,76,Australia,A-League,WS Wanderers,29,"178cm / 5'10""",79kg / 174lb,ST
Jordan Bos,69,87,58,60,69,61,79,Australia,1A Pro League,KVC Westerlo,21,"180cm / 5'11""",70kg / 154lb,LB
Badredine Bouanani,69,71,64,68,71,31,51,Algeria,Ligue 1 McDonald's,OGC Nice,19,"177cm / 5'10""",68kg / 150lb,RW
Josh Bowler,69,73,64,63,74,33,50,England,EFL Championship,Preston,25,"175cm / 5'9""",75kg / 165lb,RM
Michael Boxall,69,54,42,58,57,67,80,New Zealand,MLS,Minnesota United,36,"188cm / 6'2""",91kg / 201lb,CB
Frank Boya,69,45,58,61,60,66,87,Cameroon,Ligue 2 BKT,Amiens SC,28,"195cm / 6'5""",83kg / 183lb,CDM
Dedryck Boyata,69,55,30,50,57,69,73,Belgium,1A Pro League,Club Brugge,33,"188cm / 6'2""",84kg / 185lb,CB
Liam Boyce,69,65,69,60,69,33,75,Northern Ireland,Scottish Prem,Hearts,33,"184cm / 6'0""",75kg / 165lb,ST
Tyler Boyd,69,85,68,63,72,48,64,United States,MLS,Nashville SC,29,"183cm / 6'0""",66kg / 146lb,LM
Can Bozdoğan,69,61,66,68,74,62,66,Germany,Eredivisie,FC Utrecht,23,"175cm / 5'9""",72kg / 159lb,CM
Domagoj Bradarić,69,74,55,65,69,68,63,Croatia,Serie A Enilive,Hellas Verona,24,"178cm / 5'10""",69kg / 152lb,LM
João Figueiredo,69,71,68,60,70,25,68,Brazil,Trendyol Süper Lig,Başakşehir,28,"180cm / 5'11""",74kg / 163lb,ST
Chumi,69,51,36,53,56,70,68,Spain,LALIGA HYPERMOTION,UD Almería,25,"185cm / 6'1""",75kg / 165lb,CB
Tim Breithaupt,69,49,41,60,59,69,68,Germany,Bundesliga,FC Augsburg,22,"186cm / 6'1""",70kg / 154lb,CDM
Marco Brescianini,69,53,64,64,66,63,72,Italy,Serie A Enilive,Bergamo Calcio,24,"188cm / 6'2""",80kg / 176lb,CM
Mark Brink,69,64,56,67,69,62,71,Denmark,3F Superliga,FC Nordsjælland,26,"174cm / 5'9""",73kg / 161lb,CM
Benny,69,73,62,68,70,31,58,Portugal,Liga Portugal,Moreirense FC,26,"176cm / 5'9""",72kg / 159lb,CAM
Sebastián Britos,69,63,70,63,68,24,77,Uruguay,Libertadores,Universitario,36,"190cm / 6'3""",87kg / 192lb,GK
Andrew Brody,69,73,40,57,66,64,71,United States,MLS,Real Salt Lake,29,"178cm / 5'10""",61kg / 134lb,RB
Moritz Broschinski,69,76,68,57,67,31,63,Germany,Bundesliga,VfL Bochum 1848,23,"190cm / 6'3""",80kg / 176lb,ST
Michael Brouwer,69,72,68,65,67,26,64,Holland,Eredivisie,FC Utrecht,31,"189cm / 6'2""",81kg / 179lb,GK
Jacob Brown,69,73,69,62,69,48,72,Scotland,EFL Championship,Luton Town,26,"184cm / 6'0""",72kg / 159lb,ST
Nathaniel Brown,69,86,47,59,70,60,50,Germany,Bundesliga,Frankfurt,21,"180cm / 5'11""",60kg / 132lb,LB
Ola Brynhildsen,69,83,68,63,71,50,67,Norway,Eliteserien,Molde FK,25,"175cm / 5'9""",70kg / 154lb,ST
John Buckley,69,72,60,65,71,63,68,England,EFL Championship,Blackburn Rovers,24,"173cm / 5'8""",63kg / 139lb,CM
Julio Buffarini,69,69,58,64,68,64,78,Argentina,Primera División,Independiente,36,"170cm / 5'7""",74kg / 163lb,RB
Marko Bulat,69,81,68,75,69,59,64,Croatia,1A Pro League,Standard Liège,22,"179cm / 5'10""",68kg / 150lb,CM
Onur Bulut,69,76,59,68,67,63,70,Turkey,Trendyol Süper Lig,Beşiktaş,30,"179cm / 5'10""",80kg / 176lb,RB
Borisav Burmaz,69,73,69,62,67,36,68,Serbia,SUPERLIGA,FC Rapid 1923,23,"185cm / 6'1""",75kg / 165lb,ST
Nathan Byrne,69,78,50,63,68,63,67,England,MLS,Charlotte FC,32,"180cm / 5'11""",84kg / 185lb,RB
Nelson Cabanillas,69,77,63,66,70,60,64,Peru,Libertadores,Universitario,24,"171cm / 5'7""",76kg / 168lb,LM
Rodrigo Cabral,69,78,60,63,74,29,48,Argentina,Primera División,Huracán,24,"170cm / 5'7""",64kg / 141lb,LM
Víctor Cabrera,69,62,39,57,59,69,72,Argentina,Primera División,Instituto,31,"182cm / 6'0""",77kg / 170lb,CB
Alejandro Cabrera,69,54,51,63,62,65,73,Argentina,Primera División,Banfield,31,"185cm / 6'1""",85kg / 187lb,CDM
Luis Adrián Caicedo,69,57,35,49,51,70,80,Ecuador,Sudamericana,Always Ready,26,"187cm / 6'2""",90kg / 198lb,CB
Jordy Caicedo,69,73,66,44,64,34,79,Ecuador,LALIGA HYPERMOTION,R. Sporting,26,"187cm / 6'2""",82kg / 181lb,ST
Horacio Calcaterra,69,66,66,73,69,59,62,Peru,Libertadores,Universitario,35,"176cm / 5'9""",71kg / 157lb,CM
Diego Callai,69,68,65,66,71,22,71,Brazil,Liga Portugal,Sporting CP,20,"190cm / 6'3""",88kg / 194lb,GK
Giacomo Calò,69,61,49,63,65,62,72,Italy,Serie BKT,Cesena,27,"180cm / 5'11""",74kg / 163lb,CDM
Allan Campbell,69,69,63,65,69,69,76,Scotland,EFL League One,Charlton Ath,26,"174cm / 5'9""",74kg / 163lb,CM
Gastón Campi,69,35,45,58,58,68,77,Argentina,Libertadores,San Lorenzo,33,"193cm / 6'4""",83kg / 183lb,CB
Nicolás Campisi,69,67,66,65,69,39,70,Argentina,Primera División,Unión,27,"188cm / 6'2""",90kg / 198lb,GK
Michele Camporese,69,65,31,38,53,70,72,Italy,Serie BKT,Cosenza,32,"186cm / 6'1""",75kg / 165lb,CB
Tom Cannon,69,78,69,56,72,27,59,Republic of Ireland,EFL Championship,Stoke City,21,"180cm / 5'11""",68kg / 150lb,ST
Andrea Carboni,69,60,36,55,61,71,67,Italy,Serie A Enilive,Monza,23,"187cm / 6'2""",80kg / 176lb,CB
Thiago Cardozo,69,70,66,61,73,42,65,Uruguay,Primera División,Unión,28,"182cm / 6'0""",83kg / 183lb,GK
Agustín Cardozo,69,68,53,66,69,68,73,Argentina,Primera División,Tigre,27,"182cm / 6'0""",78kg / 172lb,CM
Ángel Cardozo Lucena,69,66,55,67,68,67,66,Paraguay,Libertadores,Libertad,29,"168cm / 5'6""",70kg / 154lb,CM
Graham Carey,69,76,69,72,71,60,74,Republic of Ireland,Scottish Prem,St. Johnstone,35,"183cm / 6'0""",69kg / 152lb,CM
Bryan Carrasco,69,85,64,63,71,42,63,Chile,Libertadores,Palestino,33,"172cm / 5'8""",71kg / 157lb,RM
Carreira,69,65,41,60,63,66,52,Spain,LALIGA EA SPORTS,RC Celta,23,"170cm / 5'7""",67kg / 148lb,RB
Rasmus Carstensen,69,73,48,63,67,63,71,Denmark,Bundesliga 2,1. FC Köln,23,"183cm / 6'0""",76kg / 168lb,RB
Wilder Cartagena,69,73,54,59,65,66,78,Peru,MLS,Orlando City,29,"180cm / 5'11""",77kg / 170lb,CDM
Pedro Santos,69,73,56,67,69,67,70,Portugal,Liga Portugal,Arouca,23,"174cm / 5'9""",61kg / 134lb,CM
Gonzalo Castellani,69,60,64,74,70,55,75,Argentina,Libertadores,Colo-Colo,37,"183cm / 6'0""",75kg / 165lb,CM
Joan Castro,69,70,38,60,64,67,63,Colombia,Liga Colombia,Atl. Nacional,27,"175cm / 5'9""",70kg / 154lb,RB
Nicolás Eduardo Castro,69,65,64,71,69,62,65,Argentina,Primera División,Atlético Tucumán,34,"177cm / 5'10""",72kg / 159lb,CM
Nicolás Castro,69,60,70,70,69,51,56,Argentina,LALIGA HYPERMOTION,Elche CF,23,"182cm / 6'0""",79kg / 174lb,CM
Juan Ignacio Cavallaro,69,75,67,65,71,35,64,Argentina,Primera División,Ind. Rivadavia,30,"171cm / 5'7""",68kg / 150lb,LM
Assan Ceesay,69,84,70,57,64,33,69,Gambia,ROSHN Saudi League,Damac FC,30,"188cm / 6'2""",75kg / 165lb,ST
Juan Bautista Cejas,69,81,65,66,71,48,64,Argentina,Primera División,Godoy Cruz,26,"175cm / 5'9""",70kg / 154lb,LW
Pablo Ceppelini,69,66,67,75,68,46,60,Uruguay,Liga Colombia,Atl. Nacional,33,"178cm / 5'10""",75kg / 165lb,CAM
Ezequiel Cerutti,69,81,62,65,72,34,62,Argentina,Libertadores,San Lorenzo,32,"169cm / 5'7""",70kg / 154lb,RW
Giorgi Chakvetadze,69,71,66,69,71,34,50,Georgia,EFL Championship,Watford,25,"183cm / 6'0""",78kg / 172lb,CAM
Chapela,69,74,68,65,72,30,49,Spain,LALIGA HYPERMOTION,CD Eldense,25,"181cm / 5'11""",76kg / 168lb,LM
Anastasios Chatzigiovanis,69,72,64,67,70,36,60,Greece,Trendyol Süper Lig,Eyüpspor,27,"175cm / 5'9""",62kg / 137lb,LM
Xavier Chavalerin,69,55,65,69,69,66,71,France,Ligue 2 BKT,ESTAC Troyes,33,"179cm / 5'10""",66kg / 146lb,CM
Juan Camilo Chaverra,69,72,65,61,76,32,66,Colombia,Sudamericana,Deportes Tolima,31,"185cm / 6'1""",75kg / 165lb,GK
Andrés Chávez,69,69,72,63,67,36,79,Argentina,Sudamericana,Coquimbo Unido,33,"185cm / 6'1""",97kg / 214lb,ST
Kacper Chodyna,69,85,62,65,67,59,68,Poland,PKO BP Ekstraklasa,Legia Warszawa,25,"176cm / 5'9""",68kg / 150lb,RM
Choi Kyoung Rok,69,64,64,67,74,49,62,Korea Republic,K League 1,GwangJu FC,29,"176cm / 5'9""",68kg / 150lb,CM
Mounir Chouiar,69,75,64,69,70,35,65,France,CSSL,FC Zürich,25,"177cm / 5'10""",70kg / 154lb,LM
Diego Churín,69,55,69,50,65,31,68,Argentina,Libertadores,Cerro Porteño,34,"187cm / 6'2""",87kg / 192lb,ST
Yanis Cimignani,69,73,66,65,71,52,62,France,CSSL,FC Lugano,22,"176cm / 5'9""",71kg / 157lb,LM
Seydouba Cisse,69,60,66,66,66,62,57,Guinea,LALIGA EA SPORTS,CD Leganés,23,"179cm / 5'10""",72kg / 159lb,CM
Ibrahim Cissoko,69,79,60,63,73,32,55,Holland,EFL Championship,Plymouth Argyle,21,"178cm / 5'10""",69kg / 152lb,LW
Andrea Cistana,69,68,52,57,64,69,72,Italy,Serie BKT,Brescia,27,"185cm / 6'1""",78kg / 172lb,CB
Eldar Ćivić,69,80,53,66,69,63,70,Bosnia and Herzegovina,Magyar Liga,Ferencvárosi TC,28,"182cm / 6'0""",76kg / 168lb,LB
Harry Clarke,69,79,57,60,65,65,79,England,Premier League,Ipswich,23,"180cm / 5'11""",80kg / 176lb,RB
Jonson Clarke-Harris,69,71,69,54,67,27,78,Jamaica,EFL League One,Rotherham Utd,30,"183cm / 6'0""",78kg / 172lb,ST
Vitinho,69,72,69,69,73,39,62,Brazil,ROSHN Saudi League,Ettifaq FC,30,"180cm / 5'11""",78kg / 172lb,CAM
João Aurélio,69,60,59,66,66,65,73,Portugal,Liga Portugal,Nacional,36,"182cm / 6'0""",74kg / 163lb,RB
Valentin Cojocaru,69,71,66,67,68,34,67,Romania,PKO BP Ekstraklasa,Pogoń Szczecin,28,"195cm / 6'5""",89kg / 196lb,GK
Enis Çokaj,69,68,59,65,68,68,68,Albania,Hellas Liga,Panathinaikos,25,"176cm / 5'9""",69kg / 152lb,CDM
Jack Colback,69,51,58,65,64,68,67,England,EFL Championship,QPR,34,"177cm / 5'10""",77kg / 170lb,CDM
Brad Collins,69,70,64,71,70,43,69,England,EFL Championship,Coventry City,27,"184cm / 6'0""",69kg / 152lb,GK
Nélson da Luz,69,79,66,60,74,34,63,Angola,CSL,Qingdao W. Coast,26,"177cm / 5'10""",74kg / 163lb,LW
Tyrone Conraad,69,76,70,45,66,22,71,Suriname,CSL,Meizhou Hakka FC,27,"178cm / 5'10""",78kg / 172lb,ST
Tommy Conway,69,81,68,53,68,20,57,Scotland,EFL Championship,Middlesbrough,22,"183cm / 6'0""",68kg / 150lb,ST
Theo Corbeanu,69,78,58,67,71,47,63,Canada,LALIGA HYPERMOTION,Granada CF,22,"190cm / 6'3""",83kg / 183lb,RM
Sébastien Corchia,69,66,62,69,68,68,53,France,Ligue 2 BKT,Amiens SC,33,"176cm / 5'9""",69kg / 152lb,RB
Andreas Cornelius,69,62,69,59,61,34,80,Denmark,3F Superliga,F.C. København,31,"193cm / 6'4""",91kg / 201lb,ST
Mateo Coronel,69,83,69,67,68,36,59,Argentina,Primera División,Atlético Tucumán,25,"170cm / 5'7""",71kg / 157lb,ST
Killian Corredor,69,89,69,59,67,27,69,France,Bundesliga 2,SV Darmstadt 98,23,"182cm / 6'0""",72kg / 159lb,ST
Marcos Paulo,69,69,66,67,68,43,53,Portugal,LALIGA EA SPORTS,Atlético de Madrid,23,"186cm / 6'1""",75kg / 165lb,LM
Tomás Silva,69,71,51,69,72,63,60,Portugal,PKO BP Ekstraklasa,Jagiellonia,24,"172cm / 5'8""",64kg / 141lb,RB
Maurice Cova,69,70,67,73,69,44,66,Venezuela,Libertadores,Dep. Táchira,32,"173cm / 5'8""",64kg / 141lb,CM
Sebastián Cristóforo,69,59,57,66,64,68,63,Uruguay,Libertadores,Peñarol,31,"175cm / 5'9""",68kg / 150lb,CDM
Kevin Csoboth,69,89,63,62,69,27,48,Hungary,CSSL,FC St. Gallen,24,"174cm / 5'9""",68kg / 150lb,LW
Mauricio Cuero,69,83,67,64,70,28,63,Colombia,Sudamericana,Dep. Garcilaso,31,"178cm / 5'10""",83kg / 183lb,RM
Liam Cullen,69,75,68,61,68,31,59,Wales,EFL Championship,Swansea City,25,"178cm / 5'10""",66kg / 146lb,ST
Jason Cummings,69,66,71,57,66,38,61,Australia,ISL,Mohun Bagan SG,29,"178cm / 5'10""",63kg / 139lb,ST
André Vidigal,69,85,64,60,73,28,60,Portugal,EFL Championship,Stoke City,26,"176cm / 5'9""",67kg / 148lb,LM
Olivier Custodio,69,66,50,72,67,64,73,Switzerland,CSSL,Lausanne-Sport,29,"180cm / 5'11""",74kg / 163lb,CM
Pastor,69,80,39,54,66,65,70,Brazil,Liga Portugal,Farense,24,"176cm / 5'9""",78kg / 172lb,RB
Jhamir D'Arrigo,69,86,62,61,71,48,60,Peru,Libertadores,Alianza Lima,24,"170cm / 5'7""",70kg / 154lb,RW
Tommaso D'Orazio,69,77,61,61,68,62,66,Italy,Serie BKT,Cosenza,34,"185cm / 6'1""",75kg / 165lb,LB
Chico,69,56,71,49,65,30,71,Brazil,Libertadores,Cerro Porteño,29,"186cm / 6'1""",92kg / 203lb,ST
Charles,69,70,64,60,73,30,67,Brazil,Liga Portugal,Vitória SC,30,"186cm / 6'1""",80kg / 176lb,GK
Willyan,69,86,64,60,72,42,49,Brazil,K League 1,FC Seoul,30,"170cm / 5'7""",69kg / 152lb,LM
Jefté,69,82,52,62,66,62,69,Brazil,Scottish Prem,Rangers,20,"183cm / 6'0""",76kg / 168lb,LB
Colin Dagba,69,70,53,66,70,67,56,France,Ligue 1 McDonald's,Paris SG,26,"170cm / 5'7""",62kg / 137lb,RB
Samuel Dahl,69,83,38,59,69,62,65,Sweden,Serie A Enilive,AS Roma,21,"171cm / 5'7""",72kg / 159lb,LB
Ebrima Darboe,69,62,51,65,68,65,61,Gambia,Serie BKT,Frosinone,23,"179cm / 5'10""",69kg / 152lb,CM
Jay Dasilva,69,83,42,64,72,63,61,Wales,EFL Championship,Coventry City,26,"170cm / 5'7""",64kg / 141lb,LB
Sean Davis,69,68,55,63,67,68,75,United States,MLS,Nashville SC,31,"183cm / 6'0""",75kg / 165lb,CDM
André Geraldes,69,72,41,63,65,66,70,Portugal,Liga Portugal,Casa Pia AC,33,"180cm / 5'11""",70kg / 154lb,RB
Matheus Silva,69,82,49,58,69,64,68,Brazil,Liga Azerbaijan,Qarabağ FK,26,"182cm / 6'0""",73kg / 161lb,RB
Jonathan de Guzmán,69,56,70,71,73,56,64,Holland,Eredivisie,Sparta Rotterdam,37,"173cm / 5'8""",70kg / 154lb,CM
Justin de Haas,69,62,32,43,43,70,76,Holland,Liga Portugal,FC Famalicão,24,"194cm / 6'4""",87kg / 192lb,CB
Konrad de la Fuente,69,78,67,65,73,19,48,United States,CSSL,Lausanne-Sport,23,"170cm / 5'7""",63kg / 139lb,LM
De La Hoz,69,48,58,60,64,67,74,Spain,LALIGA EA SPORTS,R. Valladolid CF,32,"179cm / 5'10""",75kg / 165lb,CDM
Matías de los Santos,69,53,55,56,54,68,76,Uruguay,Primera División,Atlético Tucumán,31,"186cm / 6'1""",83kg / 183lb,CB
Manuel De Luca,69,52,70,52,63,34,72,Italy,Serie BKT,Cremonese,26,"192cm / 6'4""",82kg / 181lb,ST
Arthur,69,74,40,62,68,63,57,Brazil,Bundesliga,Leverkusen,21,"174cm / 5'9""",69kg / 152lb,RB
Deivid Washington,69,79,70,53,72,30,66,Brazil,Premier League,Chelsea,19,"187cm / 6'2""",73kg / 161lb,ST
Ciprian Deac,69,67,66,72,67,57,70,Romania,SUPERLIGA,CFR 1907 Cluj,38,"177cm / 5'10""",74kg / 163lb,CM
Jannik Dehm,69,81,49,62,67,63,68,Germany,Bundesliga 2,Hannover 96,28,"176cm / 5'9""",73kg / 161lb,RB
Alessandro Deiola,69,53,67,64,64,70,77,Italy,Serie A Enilive,Cagliari,29,"189cm / 6'2""",85kg / 187lb,CM
Tom Dele-Bashiru,69,77,65,65,73,62,64,Nigeria,EFL Championship,Watford,24,"178cm / 5'10""",68kg / 150lb,CM
Siriki Dembélé,69,88,65,59,73,28,54,Scotland,EFL Championship,Oxford United,28,"173cm / 5'8""",67kg / 148lb,LM
Sebastiano Desplanches,69,70,65,66,72,26,68,Italy,Serie BKT,Palermo,21,"189cm / 6'2""",80kg / 176lb,GK
Matías Di Benedetto,69,43,35,49,41,71,70,Argentina,Libertadores,Universitario,31,"184cm / 6'0""",81kg / 179lb,CB
Salim Diakité,69,79,62,62,62,67,76,Mali,Serie BKT,Palermo,24,"186cm / 6'1""",79kg / 174lb,RB
Ismaël Chester Diallo,69,66,38,54,68,68,74,Côte d'Ivoire,Liga Hrvatska,Hajduk Split,27,"178cm / 5'10""",74kg / 163lb,LB
Youba Diarra,69,69,59,64,67,65,73,Mali,Ö. Bundesliga,TSV Hartberg,26,"178cm / 5'10""",79kg / 174lb,CDM
Mamadou Diarra,69,57,32,50,51,71,70,Senegal,Ligue 2 BKT,Grenoble Foot 38,26,"184cm / 6'0""",70kg / 154lb,CB
Stéphane Diarra,69,79,59,65,72,42,47,Côte d'Ivoire,Ligue 2 BKT,FC Lorient,25,"173cm / 5'8""",58kg / 128lb,RM
Amadou Diawara,69,51,54,65,69,66,68,Guinea,1A Pro League,RSC Anderlecht,27,"183cm / 6'0""",75kg / 165lb,CDM
Franco Díaz,69,72,54,65,69,66,72,Argentina,Primera División,Instituto,24,"181cm / 5'11""",83kg / 183lb,CDM
Gabriel Magalhães Díaz Núñez,69,71,33,55,64,67,57,Argentina,Primera División,Sarmiento,24,"172cm / 5'8""",66kg / 146lb,LB
Adrián Diéguez,69,57,31,58,53,69,68,Spain,PKO BP Ekstraklasa,Jagiellonia,28,"187cm / 6'2""",78kg / 172lb,CB
Maximilian Dietz,69,63,26,42,54,71,70,United States,Bundesliga 2,Fürth,22,"189cm / 6'2""",74kg / 163lb,CB
Mitchell Dijks,69,65,40,63,62,67,82,Holland,Eredivisie,Fortuna Sittard,31,"194cm / 6'4""",92kg / 203lb,LB
Anfernee Dijksteel,69,73,34,55,65,69,73,Suriname,EFL Championship,Middlesbrough,27,"183cm / 6'0""",72kg / 159lb,RB
Landry Dimata,69,76,68,62,66,39,78,Belgium,Trendyol Süper Lig,Samsunspor,27,"185cm / 6'1""",81kg / 179lb,ST
Assane Dioussé,69,62,47,64,72,66,64,Senegal,Ligue 1 McDonald's,AJ Auxerre,26,"175cm / 5'9""",68kg / 150lb,CDM
Tyrhys Dolan,69,79,61,63,74,42,54,England,EFL Championship,Blackburn Rovers,22,"164cm / 5'5""",63kg / 139lb,LM
Pius Dorn,69,81,66,67,68,65,64,Germany,CSSL,FC Luzern,27,"179cm / 5'10""",74kg / 163lb,CM
Pablo Roberto,69,71,65,67,72,59,63,Brazil,Liga Portugal,Casa Pia AC,24,"183cm / 6'0""",75kg / 165lb,CM
